;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Asier Hierro;es ESP;FW;Athletic Club;20;2005;1;0;34;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.50;0.00;0.0;2.65;0.00;0.00;;0.00;0.00
Omar El Hilali;ma MAR;DF;Espanyol;21;2003;36;32;2,826;31.4;0;2;2;0;0;0;9;0;0.00;0.06;0.06;0.00;0.06;0.00;0.03;0.00;0.0;0.03;0.00;0.00;;0.00;0.00
Ali Houary;ma MAR;MF;Elche;19;2005;2;2;123;1.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;0.0;1.46;0.00;0.00;;0.00;0.00
Dean Huijsen;es ESP;DF;Real Madrid;20;2005;28;24;2,034;22.6;2;2;4;2;0;0;7;1;0.09;0.09;0.18;0.09;0.18;0.09;0.88;0.22;25.0;0.88;0.22;0.10;0.40;0.00;0.00
Pablo Ibáñez;es ESP;MF;Alavés;26;1998;37;28;2,236;24.8;1;1;2;1;0;0;7;0;0.04;0.04;0.08;0.04;0.08;0.04;1.90;0.52;27.7;1.89;0.52;0.02;0.08;0.00;0.00
Stanis Idumbo;be BEL;MF;Sevilla;20;2005;1;1;45;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.0;2.00;0.00;0.00;;0.00;0.00
Borja Iglesias;es ESP;FW;Celta Vigo;32;1993;35;21;1,9;21.1;14;2;16;10;4;4;7;0;0.66;0.09;0.76;0.47;0.57;0.03;0.73;0.14;19.2;0.73;0.14;0.04;0.20;0.00;0.00
Iglesias;es ESP;DF;Getafe;27;1998;37;36;3,185;35.4;1;2;3;1;0;0;4;0;0.03;0.06;0.08;0.03;0.08;0.66;2.18;1.23;56.5;2.18;1.23;0.30;0.54;0.19;0.19
Luka Ili?;rs SRB;MF,FW;Oviedo;26;1999;19;8;742;8.2;1;0;1;1;0;0;4;1;0.12;0.00;0.12;0.12;0.12;0.12;1.10;0.61;55.6;1.09;0.61;0.11;0.20;0.00;0.00
Isco;es ESP;MF;Real Betis;33;1992;8;1;233;2.6;1;1;2;0;1;1;0;0;0.39;0.39;0.77;0.00;0.39;0.38;2.69;0.38;14.3;2.70;0.39;0.14;1.00;0.38;0.38
Urko Izeta;es ESP;FW;Athletic Club;25;1999;13;1;193;2.1;1;0;1;1;0;0;2;0;0.47;0.00;0.47;0.47;0.47;0.48;5.24;2.38;45.5;5.13;2.33;0.09;0.20;0.00;0.00
Jairo Izquierdo;es ESP;DF,FW;Elche;31;1993;1;0;24;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Adnan Januzaj;be BEL;MF,FW;Sevilla;30;1995;12;2;321;3.6;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.94;0.00;0.0;1.96;0.00;0.00;;0.00;0.00
Mikel Jauregizar;es ESP;MF;Athletic Club;21;2003;36;34;2,831;31.5;2;0;2;2;0;0;6;1;0.06;0.00;0.06;0.06;0.06;0.06;1.24;0.35;28.2;1.24;0.35;0.05;0.18;0.00;0.00
David Jiménez;es ESP;DF;Real Madrid;21;2004;2;1;76;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.25;1.25;100.0;1.18;1.18;0.00;0.00;0.00;0.00
Jofre;es ESP;MF;Espanyol;24;2001;26;9;930;10.3;1;0;1;1;0;0;1;0;0.10;0.00;0.10;0.10;0.10;0.10;2.23;0.68;30.4;2.23;0.68;0.04;0.14;0.00;0.00
Frenkie de Jong;nl NED;MF;Barcelona;28;1997;25;16;1,636;18.2;1;5;6;1;0;0;4;1;0.06;0.28;0.33;0.06;0.33;0.05;0.38;0.11;28.6;0.39;0.11;0.14;0.50;0.00;0.00
Joan Jordán;es ESP;MF;Sevilla;31;1994;3;0;25;0.3;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Josan;es ESP;MF,DF;Elche;35;1989;19;4;565;6.3;0;3;3;0;0;0;2;0;0.00;0.48;0.48;0.00;0.48;0.00;0.48;0.16;33.3;0.48;0.16;0.00;0.00;0.00;0.00
Mateo Joseph;es ESP;MF,FW;Mallorca;21;2003;29;19;1,699;18.9;2;3;5;2;0;0;2;0;0.11;0.16;0.26;0.11;0.26;0.11;1.75;0.74;42.4;1.75;0.74;0.06;0.14;0.00;0.00
Juanmi;es ESP;FW,MF;Getafe;32;1993;8;0;179;2.0;1;0;1;1;0;0;0;0;0.50;0.00;0.50;0.50;0.50;0.50;1.00;0.50;50.0;1.01;0.50;0.50;1.00;0.00;0.00
Luiz Lúcio Reis Júnior;br BRA;GK;Villarreal;24;2001;28;28;2,52;28.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Vinicius Júnior;br BRA;FW,MF;Real Madrid;25;2000;36;32;2,815;31.3;16;5;21;12;4;5;8;0;0.51;0.16;0.67;0.38;0.54;0.51;3.19;1.47;46.0;3.20;1.47;0.16;0.35;0.13;0.16
Ferran Jutglà;es ESP;FW;Celta Vigo;26;1999;30;21;1,652;18.4;9;3;12;9;0;0;4;0;0.49;0.16;0.65;0.49;0.65;0.49;2.45;1.41;57.8;2.45;1.42;0.20;0.35;0.00;0.00
Justin-Noël Kalumba;fr FRA;FW;Mallorca;20;2004;3;1;81;0.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.0;1.11;0.00;0.00;;0.00;0.00
Abu Kamara;eng ENG;MF;Getafe;22;2003;12;1;256;2.8;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.36;25.0;1.41;0.35;0.00;0.00;0.00;0.00
Willy Kambwala;fr FRA;DF;Villarreal;20;2004;2;1;86;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Jon Karrikaburu;es ESP;FW;Real Sociedad;22;2002;7;0;135;1.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;4.67;1.33;28.6;4.67;1.33;0.00;0.00;0.00;0.00
Kiké;es ESP;FW;Espanyol;35;1989;37;17;1,734;19.3;8;1;9;7;1;2;3;0;0.42;0.05;0.47;0.36;0.42;0.41;3.11;1.40;45.0;3.11;1.40;0.13;0.30;0.05;0.10
Koke;es ESP;MF;Atlético Madrid;33;1992;34;24;2,219;24.7;2;2;4;2;0;0;6;0;0.08;0.08;0.16;0.08;0.16;0.08;0.57;0.16;28.6;0.57;0.16;0.14;0.50;0.00;0.00
Luca Koleosho;it ITA;MF;Espanyol;20;2004;3;0;63;0.7;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;0.0;1.43;0.00;0.00;;0.00;0.00
Ville Koski;fi FIN;DF;Alavés;23;2002;5;3;282;3.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.32;100.0;0.32;0.32;0.00;0.00;0.00;0.00
Jules Koundé;fr FRA;DF;Barcelona;26;1998;30;24;2,261;25.1;1;3;4;1;0;0;6;0;0.04;0.12;0.16;0.04;0.16;0.04;0.56;0.16;28.6;0.56;0.16;0.07;0.25;0.00;0.00
Lancinet Kourouma;gn GUI;FW;Girona;21;2004;5;0;43;0.5;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Goduine Koyalipou;cf CTA;FW;Levante;25;2000;11;2;247;2.7;1;0;1;1;0;0;1;0;0.36;0.00;0.36;0.36;0.36;0.37;3.70;1.48;40.0;3.64;1.46;0.10;0.25;0.00;0.00
Vladyslav Krapyvtsov;ua UKR;GK;Girona;20;2005;2;1;136;1.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ladislav Krej?í;cz CZE;DF;Girona;26;1999;2;2;180;2.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.0;0.50;0.00;0.00;;0.00;0.00
Takefusa Kubo;jp JPN;MF;Real Sociedad;24;2001;24;17;1,503;16.7;2;4;6;2;0;0;2;0;0.12;0.24;0.36;0.12;0.36;0.12;1.68;0.72;42.9;1.68;0.72;0.07;0.17;0.00;0.00
Marash Kumbulla;al ALB;DF;Mallorca;25;2000;8;5;439;4.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.61;0.00;0.0;0.62;0.00;0.00;;0.00;0.00
Adrián de la Fuente;es ESP;DF;Levante;26;1999;33;30;2,711;30.1;3;1;4;2;1;3;5;0;0.10;0.03;0.13;0.07;0.10;0.10;1.30;0.30;23.1;1.29;0.30;0.08;0.33;0.03;0.10
Yoel Lago;es ESP;DF;Celta Vigo;21;2004;12;11;938;10.4;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.0;0.10;0.00;0.00;;0.00;0.00
Aymeric Laporte;es ESP;DF;Athletic Club;31;1994;25;24;2,058;22.9;0;1;1;0;0;0;4;0;0.00;0.04;0.04;0.00;0.04;0.00;0.66;0.22;33.3;0.66;0.22;0.00;0.00;0.00;0.00
Toni Lato;es ESP;DF,MF;Mallorca;27;1997;12;7;583;6.5;0;1;1;0;0;0;3;0;0.00;0.15;0.15;0.00;0.15;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Robin Le Normand;es ESP;DF;Atlético Madrid;28;1996;28;17;1,789;19.9;1;1;2;1;0;0;5;0;0.05;0.05;0.10;0.05;0.10;0.05;0.30;0.05;16.7;0.30;0.05;0.17;1.00;0.00;0.00
Álvaro Leiva;es ESP;FW;Real Madrid;22;2002;1;0;4;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Florian Lejeune;fr FRA;DF;Rayo Vallecano;34;1991;36;36;3,23;35.9;2;1;3;2;0;0;7;0;0.06;0.03;0.08;0.06;0.08;0.06;1.39;0.50;36.0;1.39;0.50;0.04;0.11;0.00;0.00
Youssef Lekhedim;es ESP;DF,MF;Alavés;19;2005;25;13;1,335;14.8;0;1;1;0;0;0;7;0;0.00;0.07;0.07;0.00;0.07;0.00;0.74;0.20;27.3;0.74;0.20;0.00;0.00;0.00;0.00
Iñigo Lekue;es ESP;DF;Athletic Club;32;1993;11;8;600;6.7;0;0;0;0;0;0;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.15;33.3;0.45;0.15;0.00;0.00;0.00;0.00
Thomas Lemar;fr FRA;MF;Girona;29;1995;27;14;1,258;14.0;3;1;4;3;0;0;4;0;0.21;0.07;0.29;0.21;0.29;0.21;1.21;0.57;47.1;1.22;0.57;0.18;0.38;0.00;0.00
Ruben Lendinez;es ESP;DF;Valencia;22;2003;1;0;4;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Clément Lenglet;fr FRA;DF;Atlético Madrid;30;1995;19;17;1,391;15.5;0;1;1;0;0;0;6;1;0.00;0.06;0.06;0.00;0.06;0.00;0.32;0.00;0.0;0.32;0.00;0.00;;0.00;0.00
Robert Lewandowski;pl POL;FW;Barcelona;36;1988;31;17;1,664;18.5;14;2;16;13;1;3;2;0;0.76;0.11;0.87;0.70;0.81;0.76;3.41;1.57;46.0;3.41;1.57;0.22;0.48;0.05;0.16
Adrián Liso;es ESP;FW,MF;Getafe;20;2005;28;21;1,702;18.9;3;0;3;3;0;0;5;1;0.16;0.00;0.16;0.16;0.16;0.16;1.38;0.53;38.5;1.37;0.53;0.12;0.30;0.00;0.00
Javier Llabrés;es ESP;MF;Mallorca;22;2002;16;1;187;2.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.38;0.95;40.0;2.41;0.96;0.00;0.00;0.00;0.00
Diego Llorente;es ESP;DF;Real Betis;31;1993;18;14;1,229;13.7;1;0;1;1;0;0;5;0;0.07;0.00;0.07;0.07;0.07;0.07;0.29;0.22;75.0;0.29;0.22;0.25;0.33;0.00;0.00
Marcos Llorente;es ESP;DF,MF;Atlético Madrid;30;1995;29;25;2,181;24.2;0;4;4;0;0;0;7;1;0.00;0.17;0.17;0.00;0.17;0.00;0.74;0.25;33.3;0.74;0.25;0.00;0.00;0.00;0.00
Giovani Lo Celso;ar ARG;MF;Real Betis;29;1996;24;15;1,393;15.5;2;3;5;2;0;0;4;0;0.13;0.19;0.32;0.13;0.32;0.13;1.94;0.71;36.7;1.94;0.71;0.07;0.18;0.00;0.00
Ademola Lookman;ng NGA;FW,MF;Atlético Madrid;27;1997;12;9;617;6.9;4;0;4;3;1;1;1;0;0.58;0.00;0.58;0.44;0.44;0.58;3.04;0.72;23.8;3.06;0.73;0.19;0.80;0.14;0.14
David López;es ESP;DF;Mallorca;22;2003;14;9;837;9.3;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.30;100.0;0.31;0.31;0.00;0.00;0.00;0.00
David López;es ESP;DF;Girona;35;1989;6;3;293;3.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.0;0.43;0.00;0.00;;0.00;0.00
Diego López;es ESP;MF,FW;Valencia;23;2002;34;20;1,762;19.6;4;1;5;4;0;0;2;0;0.20;0.05;0.26;0.20;0.26;0.20;1.43;0.41;28.6;1.43;0.41;0.14;0.50;0.00;0.00
Fer López;es ESP;MF,FW;Celta Vigo;21;2004;17;13;1,17;13.0;1;1;2;1;0;0;3;0;0.08;0.08;0.15;0.08;0.15;0.08;1.00;0.38;38.5;1.00;0.38;0.08;0.20;0.00;0.00
Fermin López;es ESP;MF;Barcelona;22;2003;30;19;1,797;20.0;6;9;15;6;0;0;3;0;0.30;0.45;0.75;0.30;0.75;0.30;3.40;1.25;36.8;3.41;1.25;0.09;0.24;0.00;0.00
Hugo López;es ESP;MF;Villarreal;18;2007;2;1;56;0.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Javi López;es ESP;DF;Oviedo;23;2002;25;20;1,711;19.0;0;1;1;0;0;0;3;1;0.00;0.05;0.05;0.00;0.05;0.00;0.37;0.05;14.3;0.37;0.05;0.00;0.00;0.00;0.00
Pau López;es ESP;GK;Real Betis;30;1994;9;9;810;9.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Unai López;es ESP;MF;Rayo Vallecano;29;1995;28;19;1,612;17.9;0;4;4;0;0;0;8;1;0.00;0.22;0.22;0.00;0.22;0.00;1.23;0.22;18.2;1.23;0.22;0.00;0.00;0.00;0.00
Iker Losada;es ESP;MF;Levante;23;2001;23;10;902;10.0;3;1;4;3;0;0;1;0;0.30;0.10;0.40;0.30;0.40;0.30;1.40;0.40;28.6;1.40;0.40;0.21;0.75;0.00;0.00
Pol Lozano;es ESP;MF;Espanyol;25;1999;33;28;2,157;24.0;2;1;3;2;0;0;12;1;0.08;0.04;0.13;0.08;0.13;0.08;0.71;0.21;29.4;0.71;0.21;0.12;0.40;0.00;0.00
Sergio Lozano;es ESP;MF;Levante;26;1999;1;0;12;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Oier Luengo;es ESP;DF;Oviedo;27;1997;3;3;225;2.5;0;1;1;0;0;0;1;0;0.00;0.40;0.40;0.00;0.40;0.00;0.40;0.00;0.0;0.40;0.00;0.00;;0.00;0.00
José Luis Gayà;es ESP;DF;Valencia;30;1995;32;31;2,448;27.2;1;2;3;1;0;0;6;1;0.04;0.07;0.11;0.04;0.11;0.04;0.48;0.11;23.1;0.48;0.11;0.08;0.33;0.00;0.00
José Luis Morales;es ESP;MF;Levante;38;1987;20;1;363;4.0;1;1;2;0;1;1;1;0;0.25;0.25;0.50;0.00;0.25;0.25;2.75;1.00;36.4;2.73;0.99;0.09;0.25;0.25;0.25
Dodi Lukebakio;be BEL;MF;Sevilla;27;1997;2;2;180;2.0;1;0;1;1;0;0;0;0;0.50;0.00;0.50;0.50;0.50;0.50;1.00;0.50;50.0;1.00;0.50;0.50;1.00;0.00;0.00
Andriy Lunin;ua UKR;GK;Real Madrid;26;1999;6;6;540;6.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Iker Luque;es ESP;DF;Atlético Madrid;20;2005;1;0;28;0.3;1;0;1;1;0;0;0;0;3.21;0.00;3.21;3.21;3.21;3.33;10.0;6.67;66.7;9.64;6.43;0.33;0.50;0.00;0.00
Zito Luvumbo;ao ANG;FW,MF;Mallorca;23;2002;10;6;508;5.6;0;2;2;0;0;0;2;0;0.00;0.35;0.35;0.00;0.35;0.00;1.61;1.25;77.8;1.59;1.24;0.00;0.00;0.00;0.00
Carlos Macià;es ESP;MF;Villarreal;16;2008;5;0;83;0.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.0;1.08;0.00;0.00;;0.00;0.00
Pablo Maffeo;es ESP;DF;Mallorca;28;1997;31;30;2,662;29.6;1;2;3;1;0;0;11;0;0.03;0.07;0.10;0.03;0.10;0.03;0.24;0.03;14.3;0.24;0.03;0.14;1.00;0.00;0.00
Aitor Mañas;es ESP;FW;Alavés;22;2003;9;0;122;1.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.71;50.0;1.48;0.74;0.00;0.00;0.00;0.00
Marcão;br BRA;DF;Sevilla;29;1996;13;11;938;10.4;1;0;1;1;0;0;5;1;0.10;0.00;0.10;0.10;0.10;0.10;0.96;0.19;20.0;0.96;0.19;0.10;0.50;0.00;0.00
José María Giménez;uy URU;DF;Atlético Madrid;30;1995;16;13;1,178;13.1;0;1;1;0;0;0;3;0;0.00;0.08;0.08;0.00;0.08;0.00;0.99;0.23;23.1;0.99;0.23;0.00;0.00;0.00;0.00
Mariano;do DOM;FW;Alavés;31;1993;10;3;288;3.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.88;0.94;50.0;1.87;0.94;0.00;0.00;0.00;0.00
Arkaitz Mariezkurrena;es ESP;FW;Real Sociedad;20;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Pablo Marín;es ESP;MF;Real Sociedad;22;2003;34;15;1,502;16.7;0;1;1;0;0;0;2;0;0.00;0.06;0.06;0.00;0.06;0.00;0.78;0.24;30.8;0.78;0.24;0.00;0.00;0.00;0.00
Rafa Marín;es ESP;DF;Villarreal;23;2002;23;21;1,979;22.0;1;0;1;1;0;0;1;0;0.05;0.00;0.05;0.05;0.05;0.05;0.23;0.05;20.0;0.23;0.05;0.20;1.00;0.00;0.00
Tomas Marques;es ESP;MF;Barcelona;18;2006;2;0;11;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Unai Marrero;es ESP;GK;Real Sociedad;23;2001;1;1;90;1.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Carlos Martín;es ESP;MF,FW;Rayo Vallecano;23;2002;11;7;450;5.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.80;0.80;44.4;1.80;0.80;0.00;0.00;0.00;0.00
Gerard Martín;es ESP;DF;Barcelona;23;2002;32;26;2,119;23.5;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.17;57.1;0.30;0.17;0.00;0.00;0.00;0.00
Iván Martín;es ESP;MF;Girona;26;1999;35;29;2,532;28.1;0;1;1;0;0;0;5;1;0.00;0.04;0.04;0.00;0.04;0.00;0.46;0.18;38.5;0.46;0.18;0.00;0.00;0.00;0.00
Jon Martin;es ESP;DF;Real Sociedad;19;2006;25;25;2,25;25.0;2;0;2;2;0;0;6;0;0.08;0.00;0.08;0.08;0.08;0.08;0.60;0.20;33.3;0.60;0.20;0.13;0.40;0.00;0.00
Mario Martín;es ESP;MF,FW;Getafe;21;2004;35;26;2,125;23.6;2;1;3;2;0;0;11;0;0.08;0.04;0.13;0.08;0.13;0.08;1.10;0.25;23.1;1.10;0.25;0.08;0.33;0.00;0.00
Arnau Martinez;es ESP;DF,MF;Girona;22;2003;35;33;2,666;29.6;2;3;5;2;0;0;6;0;0.07;0.10;0.17;0.07;0.17;0.07;0.64;0.14;21.1;0.64;0.14;0.11;0.50;0.00;0.00
Daniel Martinez;es ESP;DF;Atlético Madrid;21;2004;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Joaquín Martínez Gauna;es ESP;MF,DF;Sevilla;22;2003;21;14;1,408;15.6;2;3;5;2;0;0;1;0;0.13;0.19;0.32;0.13;0.32;0.13;1.09;0.51;47.1;1.09;0.51;0.12;0.25;0.00;0.00
Pablo Martínez;es ESP;MF;Levante;27;1998;27;21;1,857;20.6;1;5;6;1;0;0;3;0;0.05;0.24;0.29;0.05;0.29;0.05;1.36;0.19;14.3;1.36;0.19;0.04;0.25;0.00;0.00
Ramón Martínez;es ESP;DF;Sevilla;22;2002;2;0;102;1.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Toni Martínez;es ESP;FW;Alavés;28;1997;37;32;2,714;30.2;14;3;17;13;1;1;2;0;0.46;0.10;0.56;0.43;0.53;0.46;3.08;1.19;38.7;3.08;1.19;0.15;0.39;0.03;0.03
Omar Mascarell;gq EQG;MF,DF;Mallorca;32;1993;30;26;2,239;24.9;2;2;4;2;0;0;5;0;0.08;0.08;0.16;0.08;0.16;0.08;0.28;0.12;42.9;0.28;0.12;0.29;0.67;0.00;0.00
Franco Mastantuono;ar ARG;MF,FW;Real Madrid;17;2007;23;11;1,037;11.5;1;0;1;1;0;0;5;1;0.09;0.00;0.09;0.09;0.09;0.09;2.61;0.61;23.3;2.60;0.61;0.03;0.14;0.00;0.00
Alan Matturro;uy URU;DF;Levante;20;2004;19;10;947;10.5;1;1;2;1;0;0;0;1;0.10;0.10;0.19;0.10;0.19;0.10;0.76;0.10;12.5;0.76;0.10;0.13;1.00;0.00;0.00
Neal Maupay;fr FRA;FW;Sevilla;28;1996;12;10;865;9.6;2;1;3;2;0;0;2;0;0.21;0.10;0.31;0.21;0.31;0.21;1.77;0.73;41.2;1.77;0.73;0.12;0.29;0.00;0.00
Borja Mayoral;es ESP;FW;Getafe;28;1997;16;12;1,058;11.8;4;1;5;4;0;1;0;0;0.34;0.09;0.43;0.34;0.43;0.34;1.27;0.59;46.7;1.28;0.60;0.27;0.57;0.00;0.08
Kylian Mbappé;fr FRA;FW;Real Madrid;26;1998;31;29;2,599;28.9;25;5;30;17;8;9;4;0;0.87;0.17;1.04;0.59;0.76;0.87;5.05;2.18;43.2;5.06;2.18;0.17;0.40;0.28;0.31
Brais Méndez;es ESP;MF,FW;Real Sociedad;28;1997;29;21;1,66;18.4;6;2;8;5;1;2;4;1;0.33;0.11;0.43;0.27;0.38;0.33;1.96;0.87;44.4;1.95;0.87;0.17;0.38;0.05;0.11
Rodrigo Mendoza;es ESP;MF,FW;Elche;20;2005;16;6;794;8.8;1;0;1;1;0;0;4;0;0.11;0.00;0.11;0.11;0.11;0.00;1.25;0.42;33.3;1.24;0.41;0.00;0.00;0.00;0.00
Rodrigo Mendoza;es ESP;MF;Atlético Madrid;20;2005;8;8;434;4.8;0;1;1;0;0;0;2;0;0.00;0.21;0.21;0.00;0.21;0.11;1.25;0.23;18.2;1.25;0.23;0.09;0.50;0.00;0.00
Batista Mendy;fr FRA;MF;Sevilla;25;2000;27;19;1,617;18.0;1;0;1;1;0;0;6;0;0.06;0.00;0.06;0.06;0.06;0.06;0.94;0.28;29.4;0.95;0.28;0.06;0.20;0.00;0.00
Ferland Mendy;fr FRA;DF;Real Madrid;30;1995;5;3;207;2.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Nobel Mendy;sn SEN;DF;Rayo Vallecano;20;2004;24;22;1,797;20.0;2;0;2;2;0;0;9;2;0.10;0.00;0.10;0.10;0.10;0.10;0.55;0.15;27.3;0.55;0.15;0.18;0.67;0.00;0.00
Alejandro Mestanza;es ESP;MF;Getafe;20;2004;3;1;71;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.25;0.00;0.0;1.27;0.00;0.00;;0.00;0.00
Georges Mikautadze;ge GEO;FW;Villarreal;24;2000;32;23;2,109;23.4;13;6;19;13;0;0;1;0;0.55;0.26;0.81;0.55;0.81;0.56;2.78;1.37;49.2;2.77;1.37;0.20;0.41;0.00;0.00
Éder Militão;br BRA;DF;Real Madrid;27;1998;16;14;1,139;12.7;2;1;3;2;0;0;2;0;0.16;0.08;0.24;0.16;0.24;0.16;1.65;0.71;42.9;1.66;0.71;0.10;0.22;0.00;0.00
Luis Milla;es ESP;MF;Getafe;30;1994;37;37;3,271;36.3;1;10;11;1;0;0;5;1;0.03;0.28;0.30;0.03;0.30;0.03;0.74;0.11;14.8;0.74;0.11;0.04;0.25;0.00;0.00
Pere Milla;es ESP;MF,FW;Espanyol;32;1992;33;24;1,973;21.9;7;1;8;7;0;0;6;1;0.32;0.05;0.36;0.32;0.36;0.32;2.69;0.96;35.6;2.69;0.96;0.12;0.33;0.00;0.00
Óscar Mingueza;es ESP;MF;Celta Vigo;26;1999;34;21;1,968;21.9;1;4;5;1;0;0;4;0;0.05;0.18;0.23;0.05;0.23;0.05;0.64;0.23;35.7;0.64;0.23;0.07;0.20;0.00;0.00
Bojan Miovski;mk MKD;FW;Girona;26;1999;1;1;44;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Rafa Mir;es ESP;FW,MF;Elche;28;1997;27;21;1,803;20.0;8;0;8;7;1;2;4;0;0.40;0.00;0.40;0.35;0.35;0.40;3.45;1.80;52.2;3.44;1.80;0.12;0.22;0.05;0.10
Johan Mojica;co COL;DF;Mallorca;32;1992;35;30;2,724;30.3;0;4;4;0;0;0;6;1;0.00;0.13;0.13;0.00;0.13;0.00;0.56;0.07;11.8;0.56;0.07;0.00;0.00;0.00;0.00
Hora?iu Moldovan;ro ROU;GK;Oviedo;27;1998;2;2;180;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
