;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Kiko Femenía;es ESP;DF,MF;Getafe;34;1991;28;25;2,008;22.3;1;1;2;1;0;0;6;0;0.04;0.04;0.09;0.04;0.09;0.04;0.36;0.13;37.5;0.36;0.13;0.13;0.33;0.00;0.00
Aitor Fernández;es ESP;GK;Osasuna;34;1991;2;1;136;1.5;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Dro Fernández;es ESP;MF;Barcelona;17;2008;4;1;92;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Manu Fernández;es ESP;DF;Celta Vigo;24;2001;14;9;758;8.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.24;0.00;0.0;0.24;0.00;0.00;;0.00;0.00
Pelayo Fernandez;es ESP;DF;Rayo Vallecano;22;2003;1;0;45;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.0;2.00;0.00;0.00;;0.00;0.00
Roberto Férnandez;es ESP;FW;Espanyol;23;2002;38;25;2,382;26.5;7;3;10;6;1;1;3;0;0.26;0.11;0.38;0.23;0.34;0.26;2.23;0.87;39.0;2.23;0.87;0.12;0.30;0.04;0.04
Thiago Fernández;ar ARG;MF,FW;Oviedo;21;2004;16;9;817;9.1;0;4;4;0;0;0;4;0;0.00;0.44;0.44;0.00;0.44;0.00;1.43;0.55;38.5;1.43;0.55;0.00;0.00;0.00;0.00
Toni Fernández;es ESP;FW;Barcelona;17;2008;1;1;45;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Álvaro Fidalgo;mx MEX;MF;Real Betis;28;1997;9;8;542;6.0;1;0;1;1;0;0;0;0;0.17;0.00;0.17;0.17;0.17;0.17;0.67;0.33;50.0;0.66;0.33;0.25;0.50;0.00;0.00
Junior Firpo;do DOM;DF;Real Betis;28;1996;12;10;827;9.2;0;1;1;0;0;0;2;0;0.00;0.11;0.11;0.00;0.11;0.00;0.54;0.00;0.0;0.54;0.00;0.00;;0.00;0.00
Nicolas Fonseca;uy URU;MF;Oviedo;26;1998;19;12;1,018;11.3;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.09;12.5;0.71;0.09;0.00;0.00;0.00;0.00
Álex Forés;es ESP;FW;Oviedo;24;2001;18;3;360;4.0;0;1;1;0;0;0;0;0;0.00;0.25;0.25;0.00;0.25;0.00;2.00;0.50;25.0;2.00;0.50;0.00;0.00;0.00;0.00
Pablo Fornals;es ESP;MF;Real Betis;29;1996;37;34;2,848;31.6;9;6;15;9;0;0;2;0;0.28;0.19;0.47;0.28;0.47;0.28;1.36;0.57;41.9;1.36;0.57;0.21;0.50;0.00;0.00
Héctor Fort;es ESP;DF,MF;Elche;18;2006;14;7;482;5.4;2;2;4;2;0;0;0;0;0.37;0.37;0.75;0.37;0.75;0.37;2.22;0.93;41.7;2.24;0.93;0.17;0.40;0.00;0.00
Fortuño;es ESP;GK;Espanyol;23;2001;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
